date,equity
2026-04-19,100000.0
2026-04-20,99974.63
2026-04-21,100076.8
2026-04-23,99640.67
2026-04-24,99649.45
2026-04-25,99649.44
2026-04-27,99766.74
2026-04-28,99614.43
2026-04-29,99568.95
2026-04-30,100195.02
2026-05-01,99903.05
2026-05-02,99902.97
2026-05-04,100004.36
2026-05-06,99277.6
2026-05-09,99602.99
2026-05-12,99711.77
2026-05-16,99329.52
2026-05-17,99159.34
2026-05-18,99433.12
2026-05-19,99026.61
2026-05-20,99559.62
2026-05-21,100060.08
2026-05-22,100410.88
2026-05-23,100410.84
2026-05-25,100230.55
2026-05-26,100246.72
2026-05-27,100135.23
2026-05-28,100292.47
2026-05-31,100436.61
2026-06-01,100465.72
2026-06-02,100639.92
2026-06-03,100571.59
2026-06-05,100140.59
2026-06-07,100068.69
2026-06-09,99865.2
2026-06-11,100179.51
2026-06-14,101137.93
2026-06-16,101524.87
2026-06-18,100873.89
2026-06-19,101059.12
2026-06-21,100860.5
2026-06-24,100625.24
2026-06-26,101072.01
2026-06-27,100990.68
2026-06-28,100571.74
2026-06-30,101018.78
2026-07-01,100923.39
2026-07-04,100923.35
2026-07-05,101240.39
2026-07-06,101669.42
2026-07-07,101536.32
2026-07-09,101258.85
2026-07-11,101325.41
2026-07-13,100942.21
2026-07-14,101067.96
2026-07-15,101074.51
2026-07-20,101283.59
2026-07-21,102127.63
2026-07-23,101973.27
2026-07-25,102168.83
2026-07-27,101865.49
2026-07-28,102137.86
2026-08-01,102671.48
2026-08-03,102711.16
2026-08-04,103665.55
2026-08-05,103858.17
2026-08-10,104562.51
2026-08-11,104547.15
2026-08-14,103657.93
2026-08-18,104041.66
2026-08-19,103948.42
2026-09-02,103260.5
2026-09-19,104269.68
